Country,Continent,Adolescent fertility rate (births per 1000 women ages 15-19),Agricultural land (sq. km),Aid per capita (current US$),Air transport passengers carried,Arable land (hectares),Average number of times firms spent in meetings with tax officials,Average time to clear exports through customs (days),Birth rate crude (per 1000 people),Death rate crude (per 1000 people),Electric power consumption (kWh),Fertility rate total (births per woman),Forest area (sq. km),GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate adult female (per 1000 female adults),Mortality rate adult male (per 1000 male adults),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population growth (annual %),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Colombia,Latin America & Caribbean,69,425570,14,9984424,2004000,NA,NA,20,6,4.00E+10,2,607280,9.88E+10,201,NA,87,5,11,1109500,76,69,72,93,6,4,99,209,17,4,NA,1,44945790,51,1,4,98,111,164257,NA,NA,1141750,15
Comoros,Indian Ocean,53,1480,41,NA,80000,NA,NA,34,7,NA,4,50,231517984,14,NA,80,NA,3,1861,64,61,63,NA,NA,NA,183,242,53,1,NA,2,600490,50,0,NA,88,76,NA,NA,NA,1861,NA
CongoDem.Rep.,Sub-Saharan Africa,225,228000,31,NA,6700000,NA,NA,44,19,5350000000,6,1336100,5238602752,5,NA,73,21,0,2267050,47,45,46,NA,NA,0,403,443,129,0,NA,3,58740547,50,3,NA,NA,NA,NA,NA,NA,2344860,NA
CongoRep.,Sub-Saharan Africa,120,105450,400,NA,495000,NA,NA,36,12,576000000,5,224710,3975486720,31,NA,65,5,1,341500,56,53,54,NA,13,1,387,414,79,1,NA,2,3609851,50,5,8,92,NA,NA,NA,NA,342000,NA
CostaRica,Latin America & Caribbean,74,28950,7,953217,225000,1,3,18,4,7438000000,2,23910,1.95E+10,327,NA,91,14,21,51060,81,76,79,NA,7,NA,63,117,11,23,NA,2,4327228,49,0,NA,99,106,NA,NA,NA,51100,NA
Coted'Ivoire,Sub-Saharan Africa,117,203000,6,NA,3500000,NA,NA,36,16,3165000000,5,104050,1.04E+10,34,NA,56,4,1,318000,49,47,48,NA,NA,NA,412,437,90,2,NA,2,18584701,49,7,NA,NA,NA,NA,NA,NA,322460,15
Croatia,Europe,14,26950,29,1360515,1110000,2,2,10,12,1.54E+10,1,21350,2.33E+10,651,6,96,3,33,55920,79,72,75,NA,NA,2,63,163,6,20,2,0,4443350,51,0,NA,NA,NA,28472,NA,NA,56540,23
Cuba,Latin America & Caribbean,48,65970,8,812781,3665000,NA,NA,11,8,1.30E+10,2,27130,NA,310,5,99,NA,2,109820,80,76,78,NA,5,NA,76,120,5,3,NA,0,11259905,49,0,NA,97,101,NA,NA,NA,110860,NA
Cyprus,Europe,8,1650,NA,1920516,120000,NA,NA,11,7,4213000000,1,1740,1.09E+10,1350,3,98,3,43,9240,82,77,79,NA,NA,1,42,86,4,37,NA,2,757800,51,0,NA,100,102,NA,NA,NA,9250,27
CzechRepublic,Europe,11,42590,NA,4706226,3047000,2,4,10,11,6.49E+10,1,26480,6.83E+10,868,8,97,2,27,77260,79,73,76,NA,NA,2,61,144,3,27,NA,0,10234092,51,0,NA,99,102,NA,NA,NA,78870,16
Denmark,Europe,6,25890,NA,551345,2237000,NA,NA,12,10,3.61E+10,2,5000,1.71E+11,4350,NA,93,2,53,42430,80,76,78,NA,NA,1,69,111,4,70,NA,0,5415978,50,0,NA,100,103,72257,NA,NA,43090,32
Djibouti,Middle East & North Africa,25,17010,95,NA,1000,NA,NA,30,12,NA,4,60,638120000,54,NA,71,NA,1,23180,56,53,54,NA,16,NA,327,366,88,2,0,2,804206,50,3,NA,82,66,NA,NA,NA,23200,NA
Dominica,Latin America & Caribbean,NA,230,290,NA,5000,NA,NA,NA,NA,NA,NA,460,331210880,288,NA,98,2,36,750,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,1,72000,NA,NA,NA,102,100,NA,NA,NA,750,NA
DominicanRepublic,Latin America & Caribbean,110,34200,8,NA,820000,3,11,24,6,9472000000,3,13760,2.34E+10,197,2,79,4,16,48380,75,69,72,NA,NA,1,137,226,26,2,NA,2,9469601,50,1,NA,95,119,NA,NA,NA,48730,17
Ecuador,Latin America & Caribbean,83,75520,17,2011004,1348000,NA,NA,22,5,9332000000,3,108530,2.08E+10,147,NA,94,2,7,276840,78,72,75,NA,NA,2,92,172,22,7,NA,1,13060993,50,0,NA,100,101,NA,NA,NA,283560,NA
Egypt,Middle East & North Africa,43,35200,14,4888146,3000000,NA,NA,25,6,9.07E+10,3,670,1.20E+11,78,2,98,5,7,995450,73,69,71,71,14,3,97,162,30,4,2,2,72849793,50,0,14,94,92,NA,NA,NA,1001450,14
ElSalvador,Latin America & Caribbean,83,17040,30,2540564,660000,NA,NA,24,6,4438000000,3,2980,1.47E+10,177,1,89,5,10,20720,74,68,71,NA,NA,1,129,211,23,5,NA,1,6668356,51,1,NA,96,102,NA,NA,NA,21040,12
EquatorialGuinea,Sub-Saharan Africa,125,3240,80,NA,130000,NA,NA,39,15,NA,5,16320,3920161280,211,2,33,NA,1,28050,52,49,51,NA,NA,NA,354,389,123,2,NA,2,484098,50,3,NA,95,NA,NA,NA,NA,28050,NA
Eritrea,Sub-Saharan Africa,78,76070,78,NA,637000,NA,NA,40,10,NA,5,15540,756572800,8,NA,97,NA,2,101000,59,54,57,NA,NA,NA,333,442,50,1,NA,4,4526722,51,2,NA,80,59,NA,NA,NA,117600,NA
Estonia,Europe,22,8340,NA,577808,591000,2,2,11,13,7494000000,2,22840,8360443904,516,NA,96,4,51,42390,78,67,73,NA,NA,1,100,282,6,48,NA,0,1346100,54,1,NA,97,101,57016,NA,NA,45230,16
Ethiopia,Sub-Saharan Africa,100,339220,25,1667316,13115000,NA,NA,39,14,2585000000,5,130000,1.04E+10,6,NA,69,12,0,1000000,53,51,52,NA,14,3,334,373,80,0,NA,3,75173000,50,1,5,83,59,37018,NA,NA,1104300,NA
FaeroeIslands,Europe,NA,30,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48300,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA
Fiji,Pacific,36,4600,77,870571,200000,NA,NA,22,7,NA,3,10000,1900971648,148,NA,75,2,8,18270,71,66,68,NA,NA,NA,157,236,16,6,NA,1,828046,49,0,NA,98,107,NA,NA,NA,18270,21
Finland,Europe,10,22660,NA,7075195,2234000,NA,NA,11,9,8.46E+10,2,225000,1.38E+11,2824,7,97,1,53,304590,82,76,79,NA,NA,1,63,138,3,50,NA,0,5246100,50,0,NA,99,104,78821,NA,NA,338150,23
France,Europe,7,295690,NA,52477178,18507000,NA,NA,13,9,4.83E+11,2,155540,1.44E+12,3807,NA,98,2,43,550100,84,77,80,NA,NA,2,57,127,4,57,NA,1,60873000,51,0,NA,99,101,950985,NA,NA,551500,22
FrenchPolynesia,Pacific,38,450,NA,NA,3000,NA,NA,19,5,NA,2,1050,NA,NA,NA,NA,NA,22,3660,76,71,74,NA,NA,NA,98,158,NA,11,NA,1,255632,49,NA,NA,NA,NA,NA,NA,NA,4000,NA
Gabon,Sub-Saharan Africa,88,51600,41,465343,325000,NA,NA,27,12,1290000000,3,217750,5523001856,276,NA,38,0,5,257670,57,56,57,NA,NA,1,365,376,60,3,NA,2,1290693,50,8,NA,NA,NA,NA,NA,NA,267670,NA
Gambia,Sub-Saharan Africa,107,8140,38,NA,350000,NA,NA,36,11,NA,5,4710,508515360,15,1,88,3,4,10000,60,58,59,NA,NA,NA,179,224,86,2,NA,3,1617029,50,2,NA,NA,NA,NA,NA,NA,11300,NA
Georgia,Europe,32,30060,69,249131,802000,8,3,11,12,7479000000,1,27600,4356575744,123,4,84,8,6,69490,75,67,71,NA,NA,4,82,216,29,5,NA,-1,4473409,52,0,NA,100,99,NA,NA,NA,69700,12
Germany,Europe,10,170300,NA,90788848,11903000,NA,NA,8,10,5.86E+11,1,110760,1.96E+12,3628,8,90,2,43,348770,82,76,79,NA,NA,1,NA,NA,4,61,NA,0,82469400,51,0,NA,100,98,NA,NA,NA,357050,11
Ghana,Sub-Saharan Africa,61,147350,50,NA,4185000,NA,NA,31,10,5989000000,4,55170,6364078592,30,1,84,15,2,227540,60,59,59,NA,NA,1,285,292,75,1,NA,2,22535010,49,2,NA,96,85,57613,NA,NA,238540,NA
Greece,Europe,9,83590,NA,9452219,2627000,NA,NA,9,9,5.82E+10,1,37520,1.78E+11,2580,NA,88,4,18,128900,82,77,79,NA,NA,3,43,94,4,9,5,0,11104000,50,0,NA,99,98,117533,NA,NA,131960,17
Greenland,Europe,NA,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56935,NA,NA,NA,NA,NA,NA,NA,NA,410450,NA
Grenada,Latin America & Caribbean,46,130,495,NA,2000,NA,NA,21,NA,NA,NA,40,449579872,342,5,99,3,NA,340,NA,NA,NA,NA,9,NA,148,192,17,NA,NA,1,106500,51,NA,NA,96,103,NA,NA,NA,340,NA
Guam,Pacific,53,200,NA,NA,2000,NA,NA,19,5,NA,3,260,NA,NA,NA,NA,NA,39,540,78,73,75,NA,NA,NA,66,128,NA,NA,NA,2,168570,49,NA,NA,NA,NA,NA,NA,NA,540,NA
Guatemala,Latin America & Caribbean,110,46520,20,NA,1440000,NA,NA,34,6,6635000000,4,39380,2.19E+10,132,1,81,8,8,108430,73,66,70,NA,NA,0,132,239,32,2,NA,2,12709564,51,1,NA,92,91,NA,NA,NA,108890,10
Guinea,Sub-Saharan Africa,157,125700,22,NA,1200000,NA,NA,41,13,NA,6,67240,3621396480,21,NA,68,NA,1,245720,57,53,55,NA,12,NA,238,279,100,0,NA,2,9002656,49,2,5,82,51,NA,NA,NA,245860,NA
Guinea-Bissau,Sub-Saharan Africa,192,16300,50,NA,300000,NA,NA,50,19,NA,7,20720,213417600,10,NA,80,3,2,28120,48,44,46,NA,NA,4,392,446,121,0,NA,3,1596929,51,4,NA,NA,NA,NA,NA,NA,36120,NA
Guyana,Latin America & Caribbean,66,17400,187,NA,480000,NA,NA,19,9,NA,2,151040,736121408,60,NA,93,7,22,196850,69,63,66,NA,NA,NA,193,266,47,4,NA,0,739472,49,2,NA,99,99,NA,NA,NA,214970,NA
Haiti,Latin America & Caribbean,49,15900,54,NA,780000,NA,NA,29,10,343000000,4,1050,3744341504,28,NA,53,16,6,27560,62,58,60,NA,25,NA,253,312,63,0,NA,2,9296291,50,4,NA,NA,NA,NA,6,15,27750,NA
Honduras,Latin America & Caribbean,97,29360,99,NA,1068000,NA,NA,29,6,4276000000,3,46480,7100086784,91,NA,91,9,4,111890,73,66,70,NA,NA,1,143,252,24,2,NA,2,6834110,50,2,NA,99,130,NA,NA,NA,112090,17
HongKong,Asia,5,NA,NA,20229512,NA,NA,NA,8,6,4.01E+10,1,NA,2.07E+11,NA,NA,NA,1,52,1042,84,79,82,NA,NA,NA,34,80,NA,61,NA,0,6813200,51,NA,NA,NA,101,1955,NA,NA,1092,NA
Hungary,Europe,20,58640,NA,2735214,4600000,2,4,10,14,3.80E+10,1,19760,5.92E+10,855,8,99,4,30,89610,77,69,73,NA,NA,1,107,256,6,15,NA,0,10087050,52,0,NA,98,99,NA,NA,NA,93030,20
Iceland,Europe,16,22810,NA,1528929,7000,NA,NA,14,6,8305000000,2,460,1.07E+10,5154,NA,95,4,62,100250,83,79,81,NA,NA,0,49,69,2,48,NA,2,296750,49,0,NA,97,102,13029,NA,NA,103000,28
India,Asia,65,1801800,2,27879461,159650000,NA,NA,24,8,5.26E+11,3,677010,6.44E+11,36,NA,55,4,5,2973190,66,63,64,NA,NA,3,171,262,59,2,NA,1,1094583000,48,1,NA,98,82,NA,NA,NA,3287260,10
Indonesia,Asia,43,478000,11,26835524,23000000,NA,NA,20,7,1.12E+11,2,884950,2.08E+11,26,NA,70,10,7,1811570,70,66,68,NA,NA,1,128,177,28,1,NA,1,220558000,50,0,NA,97,99,NA,NA,NA,1904570,NA
Iran,Middle East & North Africa,22,476310,2,12708354,16533000,NA,NA,18,5,1.46E+11,2,110750,1.33E+11,212,2,95,13,11,1628550,72,69,70,82,NA,5,107,158,31,13,1,1,69087070,49,0,NA,122,94,NA,NA,NA,1745150,8
Iraq,Middle East & North Africa,NA,100100,NA,NA,5750000,NA,NA,NA,NA,3.33E+10,NA,8220,NA,59,1,60,NA,NA,437370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,83,66,NA,NA,NA,438320,NA
Ireland,Europe,17,42270,NA,42872544,1215000,NA,NA,15,6,2.59E+10,2,6690,1.24E+11,3993,NA,90,2,34,68890,82,77,79,NA,NA,1,53,92,4,53,NA,2,4159100,50,0,NA,100,109,NA,NA,NA,70270,25
IsleofMan,Europe,NA,265,NA,NA,7500,NA,NA,12,10,NA,NA,30,2066399872,NA,NA,NA,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,76073,NA,NA,NA,NA,NA,NA,NA,NA,570,NA
Israel,Middle East & North Africa,15,5170,NA,4392448,317000,NA,NA,21,6,4.68E+10,3,1710,1.33E+11,1533,6,95,1,24,21640,82,78,80,NA,NA,10,40,84,4,122,NA,2,6923600,50,0,NA,101,99,17589,NA,NA,22070,28
Italy,Europe,7,146940,NA,36115764,7744000,NA,NA,10,10,3.32E+11,1,99790,1.14E+12,2692,NA,96,2,48,294110,83,78,80,NA,NA,2,NA,NA,4,37,NA,1,58607050,51,0,NA,99,99,NA,NA,NA,301340,21
Jamaica,Latin America & Caribbean,82,5130,15,1573785,174000,2,4,17,6,6568000000,2,3390,8735988736,170,2,88,15,46,10830,73,69,71,NA,12,1,141,223,26,7,NA,0,2654500,50,2,NA,100,103,21532,NA,NA,10990,27
Japan,Asia,3,46920,NA,102279015,4360000,NA,NA,8,9,1.05E+12,1,248680,4.98E+12,2936,NA,99,0,67,364500,86,79,82,NA,NA,1,45,93,3,68,NA,0,127773000,50,0,NA,100,100,NA,NA,NA,377910,NA
Jordan,Middle East & North Africa,26,10120,123,1737165,184000,NA,NA,28,3,9067000000,3,830,1.14E+10,241,2,95,3,13,88240,74,71,72,91,NA,5,120,171,22,7,2,2,5411500,48,0,NA,100,102,7601,NA,NA,88780,24
Kazakhstan,Asia,30,2075980,15,1160286,22364000,4,7,18,10,4.86E+10,2,33370,3.00E+10,148,8,98,8,4,2699700,72,60,66,NA,NA,1,151,377,27,NA,4,1,15147050,52,0,NA,100,98,90800,NA,NA,2724900,21
Kenya,Sub-Saharan Africa,104,270210,22,2424382,5264000,NA,NA,39,12,4928000000,5,35220,1.52E+10,24,NA,76,10,3,569140,54,52,53,NA,NA,2,421,447,79,1,NA,3,35598952,50,6,NA,96,95,NA,NA,NA,580370,18
Kiribati,Pacific,NA,370,281,NA,2000,NA,NA,NA,NA,NA,NA,20,51859948,118,NA,79,NA,2,810,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,1,99000,NA,NA,NA,101,114,NA,NA,NA,810,NA
NorthKorea,Asia,1,30500,4,101313,2800000,NA,NA,14,10,1.93E+10,2,61870,NA,NA,NA,79,NA,NA,120410,69,65,67,NA,NA,NA,130,186,42,NA,NA,0,23615611,51,0,NA,NA,NA,NA,NA,NA,120540,NA
SouthKorea,Asia,4,18810,NA,33888328,1624000,2,7,9,5,3.76E+11,1,62650,6.39E+11,973,NA,96,3,68,98730,82,75,78,NA,NA,3,48,120,5,53,NA,0,48294143,50,0,NA,95,96,102293,NA,NA,99260,16
Kuwait,Middle East & North Africa,14,1540,NA,2433213,15000,NA,NA,21,2,3.89E+10,2,60,5.22E+10,687,2,99,4,28,17820,80,75,78,93,NA,5,54,88,10,24,2,3,2535446,40,0,NA,98,105,NA,NA,NA,17820,1
KyrgyzRepublic,Asia,31,107450,52,225923,1284000,3,4,21,7,9475000000,2,8690,1649392768,29,5,98,4,5,191800,72,NA,NA,NA,NA,3,133,283,37,2,NA,1,5143500,51,0,NA,99,101,NA,NA,NA,199900,NA
LaoPDR,Asia,79,19590,52,293442,1000000,4,2,27,7,NA,3,161420,2350634496,18,NA,49,7,0,230800,65,62,63,NA,NA,NA,201,243,62,2,NA,2,5663910,50,0,NA,88,76,NA,NA,NA,236800,NA
Latvia,Europe,15,17340,NA,1032128,1092000,2,2,9,14,6217000000,1,29410,1.16E+10,443,8,99,7,45,62290,77,66,71,NA,NA,2,111,311,8,25,NA,-1,2300500,54,1,NA,96,100,69829,NA,NA,64590,15
Lebanon,Middle East & North Africa,26,3880,61,1076258,186000,NA,NA,19,7,8992000000,2,1360,2.05E+10,460,4,92,NA,17,10230,74,69,72,NA,NA,5,105,158,26,10,2,1,4010740,51,0,NA,97,110,6970,NA,NA,10400,NA
Lesotho,Sub-Saharan Africa,80,23340,35,NA,330000,NA,NA,30,19,NA,4,80,982207232,69,NA,83,3,3,30350,44,43,43,NA,NA,2,676,707,102,0,NA,1,1980831,53,23,7,100,126,NA,NA,NA,30350,44
Liberia,Sub-Saharan Africa,222,26020,68,NA,382000,NA,NA,50,19,NA,7,31540,444234240,10,NA,87,NA,NA,96320,46,44,45,NA,NA,NA,434,473,157,NA,NA,3,3441796,50,NA,NA,NA,NA,NA,NA,NA,111370,NA
Libya,Middle East & North Africa,3,155850,4,0,1750000,NA,NA,24,4,1.95E+10,3,2170,4.04E+10,223,NA,98,2,4,1759540,76,71,74,NA,NA,2,96,155,18,2,NA,2,5918217,48,0,NA,98,119,NA,NA,NA,1759540,NA
Liechtenstein,Europe,NA,70,NA,NA,4000,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,63,160,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,34750,NA,NA,NA,NA,NA,NA,NA,NA,160,NA
Lithuania,Europe,20,28370,NA,505409,1906000,4,2,9,13,1.06E+10,1,20990,1.66E+10,448,8,94,3,26,62680,77,65,71,NA,NA,1,110,326,7,18,NA,-1,3414300,53,0,NA,99,100,79497,NA,NA,65300,17
Luxembourg,Europe,11,1290,NA,851136,60000,NA,NA,12,8,7294000000,2,870,2.36E+10,6330,NA,99,2,69,2590,82,76,79,NA,NA,1,52,107,4,63,NA,1,456710,50,0,NA,101,106,NA,NA,NA,2590,26
Macao,Asia,5,NA,NA,2040654,NA,NA,NA,7,5,NA,1,NA,1.04E+10,NA,NA,NA,4,36,28,83,78,80,NA,NA,NA,44,67,NA,34,NA,1,473090,52,NA,NA,92,101,NA,NA,NA,28,22
Macedonia,Europe,23,12420,112,191977,566000,3,2,11,9,6949000000,1,9060,3847901184,224,5,97,0,8,25430,76,72,74,NA,NA,2,82,139,14,22,NA,0,2033655,50,0,NA,100,98,NA,NA,NA,25710,NA
Madagascar,Sub-Saharan Africa,139,408430,49,574904,2950000,3,4,38,10,NA,5,128380,4339130880,9,NA,61,19,1,581540,60,57,59,NA,NA,1,235,291,74,1,NA,3,18642586,50,1,NA,96,NA,NA,NA,NA,587040,10
Malawi,Sub-Saharan Africa,145,45900,44,132275,2600000,NA,NA,42,16,NA,6,34020,1827126400,19,NA,93,15,0,94080,47,47,47,NA,NA,NA,532,554,79,0,NA,3,13226091,50,14,10,103,82,NA,NA,NA,118480,NA
Malaysia,Asia,14,78700,1,20369086,1800000,NA,NA,21,4,8.37E+10,3,208900,1.12E+11,222,NA,95,3,43,328550,76,72,74,NA,NA,2,91,159,10,22,NA,2,25652985,49,0,NA,NA,NA,NA,NA,NA,329740,NA
Maldives,Sub-Saharan Africa,24,140,261,81945,4000,NA,NA,23,6,NA,3,10,790226240,316,NA,98,NA,7,300,68,67,67,NA,NA,NA,169,190,28,15,NA,2,295297,49,0,NA,98,NA,NA,NA,NA,300,18
Mali,Sub-Saharan Africa,187,394790,60,NA,4800000,NA,NA,48,15,NA,7,125720,3294054144,28,NA,85,6,1,1220190,56,51,53,NA,NA,2,190,271,120,0,NA,3,11611090,51,2,NA,77,60,NA,NA,NA,1240190,16
Malta,Europe,14,100,NA,1371865,9000,NA,NA,10,7,1984000000,1,NA,4053831680,1235,8,92,3,32,320,81,78,80,NA,NA,1,50,75,5,17,NA,1,403500,50,0,NA,94,103,NA,NA,NA,320,26
MarshallIslands,Pacific,NA,140,894,25789,2000,NA,NA,NA,NA,NA,NA,NA,128874664,294,NA,77,NA,3,180,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,3,63266,NA,NA,NA,96,105,NA,NA,NA,180,NA
Mauritania,Sub-Saharan Africa,91,397620,66,138595,500000,NA,NA,34,8,NA,5,2670,1317067648,17,NA,71,12,1,1030700,65,62,63,NA,NA,4,116,183,78,3,NA,3,2963105,49,1,NA,106,90,NA,NA,NA,1030700,NA
Mauritius,Indian Ocean,40,1130,28,1145737,100000,2,4,15,7,NA,2,370,5474618880,218,3,97,5,24,2030,77,70,73,NA,NA,0,110,214,13,17,NA,1,1243253,50,1,NA,100,99,NA,NA,NA,2040,18
Mayotte,Indian Ocean,NA,200,1119,NA,7000,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,180000,NA,NA,NA,NA,NA,NA,NA,NA,374,NA
Mexico,Latin America & Caribbean,67,1075000,2,21857658,25000000,NA,NA,19,5,1.96E+11,2,642380,6.35E+11,474,NA,98,4,18,1943950,77,72,74,92,8,0,82,147,30,14,NA,1,103089133,51,0,NA,97,102,355796,NA,NA,1964380,NA
Micronesia,Pacific,30,310,966,NA,3000,NA,NA,27,6,NA,4,630,219893952,290,NA,94,NA,13,700,69,67,68,NA,NA,NA,159,183,34,5,NA,1,110058,49,NA,NA,98,107,NA,NA,NA,700,NA
Moldova,Europe,34,25180,49,231985,1848000,3,3,11,12,5535000000,1,3290,1813877376,58,6,98,13,14,32870,72,65,68,NA,6,0,141,298,17,9,NA,-1,3876661,52,1,9,99,103,12737,NA,NA,33840,18
Monaco,Europe,NA,NA,NA,87523,NA,NA,NA,NA,NA,NA,NA,0,NA,6128,NA,99,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,32500,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Mongolia,Asia,47,1304600,86,295252,1158000,NA,NA,18,6,NA,2,102520,1491068672,35,NA,99,13,11,1566500,68,65,67,NA,6,1,179,274,36,13,NA,2,2554000,50,0,NA,102,113,NA,NA,NA,1566500,NA
Montenegro,Europe,17,NA,NA,383140,NA,NA,NA,13,9,NA,2,NA,1061290624,299,4,NA,NA,NA,13812,77,72,74,NA,4,NA,84,172,9,NA,NA,-2,607969,51,NA,NA,NA,NA,NA,NA,NA,14026,NA
Morocco,Middle East & North Africa,19,303950,23,3492984,8480000,NA,NA,23,6,1.94E+10,2,43640,4.71E+10,89,NA,98,1,15,446300,73,68,70,NA,NA,4,104,153,36,2,NA,1,30142709,51,0,NA,89,84,57626,NA,NA,446550,22
Mozambique,Sub-Saharan Africa,160,486300,62,346830,4400000,NA,NA,41,20,9243000000,5,192620,6413907968,14,NA,72,7,1,786380,44,42,43,NA,NA,0,564,592,100,1,NA,2,20532675,52,16,NA,84,69,NA,NA,NA,799380,NA
Myanmar,Asia,17,112680,3,1503624,10068000,NA,NA,19,10,3916000000,2,322220,NA,4,NA,73,9,0,657550,65,58,61,NA,NA,NA,195,310,75,1,NA,1,47967266,50,1,NA,102,99,NA,NA,NA,676580,5
Namibia,Sub-Saharan Africa,64,388200,57,399280,815000,NA,NA,26,13,2884000000,3,76610,4308047872,165,NA,86,2,4,823290,53,52,52,NA,NA,3,505,529,46,12,NA,1,2019677,51,20,NA,100,114,NA,NA,NA,824290,NA
Nepal,Asia,118,42220,16,480266,2357000,NA,NA,29,8,1884000000,3,36360,6519953920,16,NA,75,7,1,143000,63,62,63,NA,NA,2,217,240,49,0,NA,2,27093656,50,1,NA,91,86,NA,NA,NA,147180,9
Netherlands,Europe,5,19210,NA,26132696,908000,NA,NA,12,8,1.14E+11,2,3650,4.08E+11,3560,NA,98,2,74,33880,82,77,79,NA,NA,2,54,86,4,85,4,0,16319850,50,0,NA,98,98,NA,NA,NA,41530,23
NetherlandsAntilles,Latin America & Caribbean,32,80,NA,NA,8000,NA,NA,13,8,964000000,2,10,NA,NA,NA,NA,4,NA,800,79,71,75,NA,NA,NA,81,177,NA,NA,NA,1,186392,53,NA,NA,NA,NA,NA,NA,NA,800,NA
NewCaledonia,Pacific,27,2490,NA,NA,6000,NA,NA,17,5,NA,2,7170,NA,NA,NA,NA,NA,32,18280,78,72,75,NA,NA,NA,72,143,NA,3,NA,2,234479,49,NA,NA,NA,NA,NA,NA,NA,18580,NA
NewZealand,Pacific,24,172690,NA,11951935,1500000,NA,NA,14,7,3.99E+10,2,83090,6.24E+10,2403,NA,89,3,67,267710,82,78,80,NA,NA,1,55,83,5,50,NA,1,4133900,50,0,NA,100,107,93460,NA,NA,267710,32
Nicaragua,Latin America & Caribbean,115,53260,136,NA,1925000,NA,NA,25,5,2262000000,3,51890,4600330752,75,NA,86,10,3,121400,75,69,72,NA,NA,1,128,218,30,4,NA,1,5462539,50,0,NA,97,113,NA,NA,NA,130000,17
Niger,Sub-Saharan Africa,206,385000,39,NA,14482000,NA,NA,50,15,NA,7,12660,2206988032,9,NA,39,8,0,1266700,55,57,56,29,NA,NA,185,171,150,0,NA,4,13264190,49,1,NA,73,64,18423,NA,NA,1267000,NA
Nigeria,Sub-Saharan Africa,137,740000,45,747648,32000000,NA,NA,41,17,1.79E+10,6,110890,6.06E+10,27,NA,54,18,4,910770,47,46,47,NA,NA,1,405,429,100,1,NA,2,141356083,50,4,NA,83,82,NA,NA,NA,923770,NA
NorthernMarianaIslands,Pacific,NA,30,NA,NA,1000,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,80300,NA,NA,NA,NA,NA,NA,NA,NA,460,NA
Norway,Europe,9,10360,NA,NA,867000,NA,NA,12,9,1.16E+11,2,93870,1.88E+11,5910,4,91,2,58,304280,82,78,80,NA,NA,2,56,88,3,59,NA,1,4623300,50,0,NA,100,101,92864,NA,NA,323800,29
Oman,Middle East & North Africa,11,18050,-2,NA,62000,NA,NA,23,3,9418000000,3,20,2.49E+10,312,2,99,2,11,309500,77,74,75,NA,NA,12,78,106,10,5,2,1,2507042,44,0,NA,100,96,NA,NA,NA,309500,NA
Pakistan,Asia,30,270700,10,5364134,21275000,NA,NA,26,7,7.11E+10,4,19020,9.44E+10,15,NA,80,9,7,770880,65,64,65,50,NA,4,148,180,79,1,1,2,155772000,48,0,NA,76,78,NA,NA,NA,796100,10
Palau,Pacific,NA,90,1167,NA,4000,NA,NA,NA,NA,NA,NA,400,127987336,690,NA,98,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,20100,NA,NA,NA,94,NA,NA,NA,NA,460,NA
Panama,Latin America & Caribbean,85,22300,6,1795958,548000,NA,NA,22,5,4846000000,3,42940,1.43E+10,351,NA,85,3,6,74430,78,73,75,NA,NA,NA,76,141,18,5,NA,2,3231502,49,1,NA,97,107,NA,NA,NA,75520,NA
