protein-IDs,length
2RIH,282
3I0Z,778
1Z0X,440
2FB0,94
4KGI,892
1YD7,395
4N1I,334
4GIW,396
2I7X,717
3R6D,221
1YDX,406
3LYU,852
2AYD,76
3F7E,262
2YG9,450
3G7Q,417
3MVP,434
3KUP,260
3DWM,186
2VHF,748
3M03,285
1VJQ,158
1J83,360
2YZI,276
1IHN,226
5D5Y,100
4OTM,282
3JS8,540
3KF6,264
4UZ1,383
2PML,348
4PWU,392
3B1M,302
3E0S,652
4P5P,225
5CFJ,152
3F7W,288
4QRH,840
4DW1,340
3STO,406
4BOL,518
2WFI,179
4RHP,470
1YCY,284
3CTV,110
1WD5,208
3WUZ,120
5BS1,492
4MNC,332
2BDT,189
4HR9,244
2HDO,209
3HG9,262
4U9B,187
3SZA,938
5C6S,130
3MWX,652
2JEK,145
2HXI,482
3L4A,141
4JHY,167
1OF8,740
1RZ4,226
2PGN,1178
4RH8,672
1SQW,188
2CXH,217
4YKI,512
1R77,206
1GWE,503
4I3Y,542
1W4S,174
3ZYT,372
3H51,312
4MXN,988
4NNG,158
4PD2,272
5CG9,534
4YZI,304
4DQ6,782
5DPJ,956
2HKL,750
4HVK,382
2Z86,2500
1Y5H,266
3OFK,864
3F5O,1184
4UHQ,272
1ZZK,82
1OUW,608
3KWL,514
3MKR,611
4GJ4,504
3LY7,372
3EER,148
3C3P,630
4WE2,277
3SZV,401
3O7I,378
2I44,972
1G6H,257
4HVZ,896
4ACK,370
3IV0,481
3LHE,143
3P2H,201
1AUE,200
4OGP,660
1NKO,132
3LYB,660
2RHW,283
2G30,277
5I62,507
2ES9,115
4RGU,324
4HRZ,268
1ZGH,260
1W66,232
4BHR,190
5CWH,172
4X3N,885
4WBT,1128
2XHF,342
3P0B,540
1SEN,164
3RLS,350
2OTA,152
3SSC,340
4YS0,824
2QHQ,250
3ZIK,756
1U6T,121
4EWC,607
3TOW,152
3NW4,368
3VTT,214
3RQB,550
3BD1,237
4P3A,316
1B9L,960
1XDY,2980
2XXP,398
4QDN,136
1DFM,446
4ZAS,2424
3S25,302
4O38,676
3QD7,137
1UKK,284
3DR2,610
2PQV,308
3DXP,359
3UV0,204
2GEF,434
4XQC,950
4UD4,732
2E5Y,266
3Q8T,192
5BSE,2770
1L3P,102
3C8N,1424
3JQO,5544
3OAM,1008
4NDH,364
3PVH,153
3KWE,213
1MAI,131
4XCB,1044
4WHI,102
4G2S,666
2F9F,177
2HEW,152
4P9I,174
1DC1,646
2OBP,192
2RDQ,288
4RND,748
2I9I,254
2XOD,119
3TBO,60
3I8B,515
3RQ1,1672
3LDV,510
1EEX,1902
4XYP,70
4U77,140
4EXO,146
4RZY,1788
3EYY,290
4LKS,334
1CR5,567
4HXF,622
3SYL,618
3W54,1316
3OG9,418
3HV2,306
3VU9,458
2FQM,450
3C8C,480
3C7A,404
4CG1,282
4R6H,428
4U9P,726
4BSP,126
2PYW,840
1JE5,412
2ZOG,958
5HCN,261
4Y9T,346
3AHC,845
4CIT,458
2ZVY,366
4DCZ,184
4UWX,520
2HQS,2132
3SOO,264
4M9K,247
4WAI,484
1GQI,1416
3MXN,307
4AZ6,435
4RHZ,393
3PPM,1146
1Z2N,324
4HJ1,1728
1REG,244
4CHM,504
2EK0,180
4MTM,164
3M4R,222
3MST,244
2I9X,174
1P9H,226
3D32,262
3MU7,273
1OZ9,150
1REP,251
3DKT,2730
1IOM,377
3KEW,482
2GFF,212
4TMX,690
3HIE,684
1WTE,544
2Y25,1268
4AFL,624
5F47,314
2FCL,169
2GJ4,824
1OBB,960
2OZV,520
3FLD,306
2ETH,308
4R4G,326
2RIN,596
2XVM,398
4N49,428
3U9J,320
2NRJ,346
1XE1,116
3WUC,274
5CZY,483
1Y1X,382
3CLM,352
3IM1,328
2OHW,266
3FGV,212
4Y5U,1098
2BM5,372
2F7B,233
4FFU,2112
4ADY,1926
2NR4,426
3A77,968
3F6C,268
2RIE,480
5EZM,578
3JU4,670
2NQ3,173
1NG2,193
4MXE,412
3ZLC,504
3K13,900
3GM8,801
2XUB,534
3HGU,738
2FY7,287
2NW8,612
3ELF,349
3W6W,1240
1M5Q,3640
3TDW,306
3MDM,456
3BS7,156
2V7F,150
3PQ1,928
4B6X,180
3EJK,174
3BT4,86
1E2K,662
2EHZ,302
3N2O,2592
4NC7,198
2Q4W,524
3FBI,428
2QGM,445
3UMO,618
2I2C,272
5DZT,993
1LML,478
3TEU,98
1IRX,1046
4CIC,312
3WE9,274
3G0T,874
5A9P,248
2AEB,644
4U4E,383
3QWU,740
4Z8N,596
4G22,878
4J8L,361
4BXM,314
2DPR,42
2VK2,306
4WQK,178
3D8K,1508
1ZVP,532
5AL7,438
2AQ6,294
4BJJ,212
3WA2,621
5CWA,513
2F4W,374
2ZWA,1390
3ZID,746
4XGO,712
3CQC,497
4N0L,702
3OT2,374
3U3Z,203
4L9O,698
3AEH,616
4MDA,225
3IPJ,190
4EFP,478
4IRT,414
4ANO,219
3IFR,1016
1AVO,1400
4J1V,448
3DMC,268
4QFU,5808
2O1S,2484
4CGS,346
1Q8C,151
5BQP,716
1R45,816
4XGV,1360
3GHA,202
2BL2,1560
5CNL,310
1Z6B,924
3BM1,366
1Z02,2676
3E4B,1808
1HUW,191
3FOD,48
3AX1,358
1VHT,654
1PV5,264
2FYG,128
4OM3,588
2P4Z,568
3F6V,151
2WVQ,450
3CZ1,238
1V6T,255
3MTQ,318
4D4Z,588
3GEE,476
2R5S,352
2VQ5,402
3KC2,704
3EFG,78
4KTB,776
2I7G,752
4OVX,277
3OIQ,269
3TE8,254
2NRQ,159
2PNW,380
4ZR7,504
1Z1Y,372
3SU6,203
3O22,162
5CQQ,164
4AY7,696
3ZH5,268
1SAZ,381
1XDI,998
5AM2,549
4BXF,922
2YC3,228
2HQL,660
4IDL,136
2XT2,400
5IX8,642
4A6Q,143
3K7I,187
3U2G,286
3NKH,488
4G1I,454
2YFV,237
4D2H,304
4QQ6,67
4RAY,290
4DYL,406
1TT8,164
5A10,356
2R47,785
1UWK,1114
1GMX,108
4NQI,1056
2P0L,288
5C30,201
3US3,367
4G7N,450
4MJK,530
4UN1,704
2IGP,120
4MJF,263
3BOE,210
4FZ4,154
3DVO,1352
3N3Y,864
4EHC,296
3B8M,840
4YAP,265
3BPQ,280
3BRS,578
2FD5,180
2UVK,714
4M9V,128
2ZG6,440
1BF2,750
5AJJ,202
2E8V,680
3C0W,235
3LJX,288
1NXH,252
1VE2,470
4TL6,759
3DSD,698
2QNT,141
4R3Q,176
1KKO,826
3P5N,378
4RSW,510
3LZD,756
2ZRR,118
4QBA,408
1I9Z,347
2HNU,405
1U02,239
4W4M,1092
3IOH,298
4G29,186
3AIH,248
4Q3O,2784
3DCM,192
1B3U,1176
1F1M,656
5AJS,272
2DG8,772
4QDG,620
4G4G,433
4MZA,874
1G2R,100
3O6X,4374
4E0E,712
2ETV,692
3MG9,308
3F8B,232
3TEJ,658
5CG5,355
3C3D,1244
4L3U,139
5FOE,1000
1XOU,287
4EOG,480
2Q35,243
1VI0,412
2GSO,786
3LPM,518
2QU7,576
3FWY,628
3RRK,357
2WM3,299
1UF5,606
3C3K,570
4YSI,151
2QEU,423
4RU0,894
3IAY,919
2Q9R,200
3AG7,106
2.00E+85,318
4GNR,353
1VE4,206
2V33,182
5C7Q,364
1HI9,1370
3NEH,636
1RV9,259
4N9W,390
3GYK,700
1LB6,169
4M3L,244
1OK0,74
2FFM,91
1YRR,764
4H7Y,644
1MXR,750
1OH0,262
3KIK,500
2WNP,217
3F1L,504
3PDG,98
4G7X,243
1GXC,636
4C0K,423
4TRH,1084
3II2,157
3C4A,381
3L3S,3156
3LTI,296
3LUU,101
1CI4,178
1RFY,204
2VVE,508
4I4C,830
2ET1,201
1FP2,352
3SKQ,249
4NCD,246
4Z0V,440
1UFY,122
3WIT,82
1YM3,215
4TYZ,220
4JPQ,440
3.00E+96,632
2Q4X,442
3SLR,387
4IGL,4356
3IKW,374
4EFI,354
1JLY,608
1XTT,864
4JDU,215
5BON,1312
3QWG,246
4QN8,465
5FN8,380
4P7O,734
4XXI,314
1EZ0,2040
3NQI,984
4TX5,384
2P8J,418
2IW1,374
1K8Q,754
2UWA,822
1OOE,472
3C5K,109
2V25,518
4D6Q,343
3AJ4,224
1DO0,2652
2NWH,317
3ZJX,1156
1IXL,131
4H9D,336
4QB3,127
4Y0H,1852
1N8V,224
2AZ0,146
4UTV,559
3S93,204
3ZE3,780
2JHE,760
5H88,976
1PDN,128
3AYV,1016
5CWQ,239
3BON,425
3EAF,391
4LL7,768
1MN3,54
3W0O,349
5HDA,266
4YAG,578
2ORW,368
3QOO,138
1H4X,234
2PNE,81
4F6M,133
4IJY,326
1LUA,861
4WIQ,264
2GMH,1168
1OXJ,173
4CJ0,706
4QRL,116
3TVQ,169
1YBK,208
1EB6,177
1KYQ,822
2UZ1,2252
4WAT,402
3N6Y,274
5AG8,336
3NA5,1140
3AJF,376
2FSJ,346
4HTF,570
3D8U,550
3NYB,406
3AYH,339
4PQG,1022
4FIN,1110
4WD1,658
3NO4,801
3BLN,143
1VLM,438
2FU2,102
3AL2,235
3HDX,478
2R5U,1200
2F4I,788
1PGL,555
4CE8,456
5FIR,4284
4ZZF,146
4KV7,381
4X4W,832
4HRS,67
1X0T,120
2F4M,356
4PQ9,514
4TQ3,1212
3DNX,153
3S8M,422
3HC7,254
2XPI,1356
3G5T,299
3O4Z,2588
4ML1,868
3D0K,608
1VP8,201
2AGK,260
1Q74,1212
3K67,318
4X89,596
3I3V,1620
4WN5,230
2WF7,221
3UX4,603
1VIM,800
5BPT,741
4E0L,56
4V03,514
4O4O,414
3DLU,424
1HXN,219
2VAK,5076
4MNN,179
3LL3,1008
2OQM,768
3CZX,728
2Q47,302
3C64,179
2A14,263
2ZHG,154
3FI9,686
3SIB,220
4HKR,428
2UUR,245
2GTT,9900
3RKC,296
3U7D,696
3W5S,742
3FET,664
2V3Z,443
1QV1,195
3SEO,482
2QJV,540
4OY3,231
2G7L,243
3ER6,1254
4ATM,243
4BFO,106
3BYW,1416
1ZK8,366
4XPQ,720
4JW0,540
3EXZ,770
1WHI,122
3FX3,474
1BU8,452
4CVO,79
2IBN,500
4TR3,191
4Y67,844
1NQZ,194
3IM6,217
1ZTD,266
3DML,116
2GGO,401
1HXI,121
2NN4,216
1W6K,732
2JBX,290
4PF3,275
2VC8,84
3DXY,218
5AIO,448
4O5V,239
2VEQ,565
4DLO,764
1PF5,131
1GNL,1088
5C8W,858
2GRE,5584
4CHE,168
5C3C,562
2ICH,670
3X0F,186
2VNG,360
2D4X,248
2CH5,1388
2F1N,262
2V82,212
2IMJ,664
3CZ3,280
2FFS,314
5BUP,213
1NI5,433
3AHN,1128
3TLM,992
2FA5,324
4XKZ,269
3M5Q,357
3KDG,394
3B0F,106
1RT8,513
3O48,134
1TXD,385
2B81,1292
4AGS,1413
3EZ2,796
4A2V,131
3OXP,300
2NR7,195
4PSR,1170
1QWD,354
3FDX,286
1OZJ,288
4NOH,338
2GQT,268
1UIX,142
4REC,647
5ED9,234
3PT9,873
3DLC,219
4MPT,760
1WZD,430
1VSR,136
1KCF,516
4WVE,430
3WKX,669
1J27,102
3M6Z,760
3GWY,280
5DFK,217
1HX8,598
3RY4,170
4ELN,316
4RK4,283
2RJZ,294
2EWC,1512
2B9C,294
3ATS,357
2HY7,406
2CVB,188
3ENC,174
4AGR,584
3D2O,514
1DVO,152
4AR9,788
4EU9,1028
5A9H,194
4E6U,265
3HN3,2452
4O0C,618
4EPS,510
5DPH,478
3RH2,212
3MGG,552
1XPK,1552
1GCI,269
1ZJC,418
3MQZ,215
2PK8,103
3BPK,412
2GT1,652
1WOL,122
2QTQ,852
2OJH,297
4EPA,655
1OK3,508
4FTB,1221
3SWO,1596
3N4S,464
1O57,1164
1XMK,79
3ZTH,700
1ZB1,784
4DOV,326
3X34,94
3W42,398
2IC6,156
1G61,456
2NWF,141
2JHJ,590
2GUD,244
2XED,1092
3ZY7,244
5DN8,446
2WFP,394
3B81,203
4KQ9,299
4TTW,161
4EMT,376
3FGH,67
3M3H,234
3HWO,788
4IKD,172
2ZBT,1188
1UX5,411
4ERR,180
4FGW,782
1DBH,354
4NOA,112
4J3V,905
2YXY,115
3H8Z,128
4R1K,276
1VPT,348
4KGD,1206
2DQW,588
4UUU,310
1FIU,1144
3U9W,608
3FOV,134
5AZ3,344
4IW7,399
2POC,1468
2YF2,455
3BRQ,592
3LYP,430
2APL,157
4LCL,866
2I5H,205
2QS9,388
5FIS,486
2O6P,322
1WVH,134
1C8U,570
2VZP,254
3M6N,915
3U0J,540
3DKX,630
4UEJ,692
2XEP,916
3GGD,245
1OQ1,892
2UU8,237
2Q66,525
1C0A,585
1S2X,206
2HP0,932
3K29,169
2BHG,418
1UEK,275
4HG6,1509
4HT3,665
4ZR8,730
4NGD,302
4ML9,572
1BH9,134
3KYA,496
2R2Y,153
3KWR,194
3EQX,746
4KF7,1160
1YJ7,684
3OP9,114
3CP0,82
2X3J,1240
3APA,141
3HFE,93
3MZ2,584
3K05,410
3NLC,549
3S9D,734
4C89,1416
3JTZ,88
2HTD,280
4HFX,388
4MCJ,1540
4OAY,1092
2OB5,153
4MVE,302
1P65,146
4XLZ,1602
5ER7,452
5EGP,628
1LR5,652
4IC9,149
2DLB,160
3H6Q,169
3N08,306
4J73,308
1DLE,596
4AS2,1308
4F87,288
3RY0,130
4N2X,1806
2WCR,318
1QW2,102
3WMI,94
3ZNU,940
2YIJ,838
4J9V,916
1IXV,231
1YZ7,188
1T61,1370
2J7N,2044
4C91,1712
4XUO,318
3IHT,348
1R71,712
3VXV,69
4AVS,1020
3H14,391
2VVY,676
3UE2,118
1XR4,1018
4WZ4,360
3D7J,912
4UTU,458
2QA1,500
2RA8,362
3C9F,1114
1NKZ,282
3ELS,158
1W0N,131
3GDH,723
3C9P,123
1U19,698
4AU1,229
1DDW,120
3OCU,262
4JQR,229
3JYG,1128
1MIW,808
2GD5,716
2DBN,461
2FNA,714
2H1C,158
1P90,145
3BVF,1086
4NSD,702
2Q02,1088
3F9U,344
2BOP,85
1IN4,334
4NE2,668
3R4I,2034
1K8T,510
3EOI,248
3IPR,900
1SZH,322
3M8T,588
3UW3,754
5FMD,1330
3ZJ0,206
4XAL,137
4G38,570
3NRX,260
3JSY,426
4ZH0,543
3JTN,182
1DCF,136
2JAE,978
2HQB,296
3KVQ,108
3R6A,288
3AA0,551
3ISX,343
4S1P,191
3K32,1218
1SD4,252
3WVZ,402
3H7A,1008
1E5K,201
3U5S,126
3QUG,252
1XDO,1374
2EI9,240
3TOS,2570
3VUS,536
3OBL,264
3O2R,680
3ILW,940
3ZDB,251
3FZ2,1608
1K4N,192
2HRA,418
5E1L,200
2EUC,260
3.00E+98,504
3DBY,5380
4EL6,106
3MC4,574
4WEP,594
1JM1,204
2ARC,328
2YXO,534
1SRQ,1364
4RRI,136
4A57,2444
4OJ8,879
3UC2,556
3B6H,996
2YEQ,1054
4GGJ,196
5C5G,254
3K2O,672
3BQW,351
3MMH,334
2X5Q,396
3K0Z,318
2CLB,1504
3MD7,293
3EPS,1156
4XDA,1236
3LZQ,318
3LFK,516
2ANU,1530
3RF0,418
3U21,254
2OIX,186
1U9P,120
1JYK,254
4MZC,111
4KT6,840
2ZO4,317
1R44,1212
4Q68,240
1GO6,68
4ILL,578
3ERM,455
3SC7,516
3O0Q,1288
2O0M,345
1VL5,1040
3ZXK,1084
4QTJ,274
5HWN,1244
1ZV1,130
2CCV,101
1JS8,788
4DZO,246
2X5O,439
4RU1,3648
2D7J,209
1Y9I,712
4KK0,4610
2R78,468
3KZ5,156
3PE5,806
2O0T,1868
1K5C,335
4CGK,784
4R80,170
4QRN,1492
3KYZ,125
4DGF,270
1ZSO,328
2C0C,724
5BVL,194
3H8U,250
5BT9,1076
1DDL,564
2GNO,305
1RKI,204
3RFI,108
4IYK,225
2V73,382
1YE8,178
3H35,555
1MSW,883
5F9Q,199
4ZUA,356
1GK9,817
3GQ8,609
3ZBD,226
4CLL,475
5IGF,143
4UOT,170
2HKV,149
1BL0,129
2QJW,704
4NKB,460
4Q7O,292
3H3L,723
2EBE,212
1SVF,204
2B06,155
3X0U,892
1F8M,1716
4QPV,592
4W8P,322
4RKS,674
1CWV,492
5FRS,720
4IIK,319
1ZX3,122
1O5H,428
4BJI,215
4K12,148
3SZY,427
3GOH,315
4PY9,343
4NFU,1176
4NUU,666
3NRH,364
2DE3,730
2POR,301
3HNY,159
1YQS,349
1A0P,290
4GAK,250
4MPC,400
1NRJ,376
4M51,427
2O38,240
3QC1,243
4LJS,324
4BG2,642
3E3X,332
3TS3,832
5DJ4,2400
1O88,353
1LJ8,493
4FO0,593
4IJA,794
3SAO,320
1XSZ,712
4PGZ,624
3M89,427
3POJ,230
4LE3,1008
2RGQ,432
5HNO,570
4X7G,251
1G6X,58
1YN3,196
3UIF,348
2G7O,70
4JS1,318
2W3Y,566
4AIV,119
2FOZ,347
4HA6,508
3KZX,231
2OJ5,990
1BGF,124
4CK4,324
2F07,394
4NZG,400
4XQK,3156
1V9F,325
4EUO,320
3IC3,404
1YU0,381
1GP6,356
4IIY,742
4ART,558
4DMG,786
1TP6,128
4HD1,294
3U4Z,218
4WNL,1068
3RF7,375
1RZH,848
4G6Q,364
3L60,250
3DV8,220
3UFE,222
3GLD,885
4A29,258
4I93,600
2O2G,223
3WLI,609
4BSX,624
3LBX,346
4WZN,434
3NUF,238
1CFZ,972
2R7A,1024
4YNH,120
1RO2,216
4Y25,311
2BL9,238
2P0N,344
4O4A,680
4ECQ,435
2QB7,794
4ZHE,836
4JOI,576
1YUE,427
4K15,525
3K9I,117
3CWR,416
3BRJ,700
2I3O,2064
1V7W,807
2OX6,664
3KH1,400
4QUS,298
2GIY,382
1H80,928
2F20,480
4ZCE,100
2Q04,1266
3H4T,404
3SGP,44
5CE7,140
3QL9,144
2WUJ,114
4OU6,380
2I74,378
3NG9,7360
3CC1,866
3ZBO,482
2W8M,424
2FDR,229
3RBY,490
3UBY,438
1NR0,611
2Z72,342
4FLE,202
4K2J,1400
3OC8,137
3TMG,1120
4BV6,493
3F14,112
3VGZ,1412
1O1Y,239
2QGO,141
4F0D,554
4OQ2,303
4Z29,650
1Q2H,207
3VK5,572
3CTZ,623
4PO6,601
3F5R,191
4B91,968
4Z3U,878
2IP6,112
2AMH,207
1M4I,362
3WV7,654
3DXL,303
3QHE,784
1M22,1006
2ZFY,234
4YZG,604
4NPD,58
3IEK,1724
5A0L,420
2OKU,262
2P0W,678
1V8Q,340
3IX7,268
1A0I,348
1X3L,440
4LHB,558
1K6K,143
2UXW,607
3UUE,279
4KKZ,1704
1N7Z,1336
4KBX,388
4AG6,1568
2Q0X,670
4QSG,253
4FRF,550
3W4T,461
5C0Y,804
4K9Z,168
3FNC,326
3HTY,1504
2XSK,110
3JRV,358
1ZBS,291
3QXY,928
2QKP,604
4KG0,169
4N4E,316
4XXH,510
4HYQ,236
3DTN,468
3VSV,2552
3LGB,388
2G2C,167
2HQT,2480
1K1F,576
2W0G,129
5-Dec,872
4EA9,220
1LRV,244
5B2P,1632
1NQK,381
4RJW,429
3BW6,144
1LUZ,176
2QLW,288
2XKI,110
3T7D,994
2W7N,202
3DKM,89
3NI7,426
3MXM,484
4CKM,540
2AG4,328
3DH1,756
3TQQ,314
2FI1,190
2G0B,1584
3H6J,438
1EUV,307
4YTL,198
2E8E,132
1PC6,292
4XOH,975
4I6M,1179
4DPZ,137
3TW5,734
4E2U,168
2FNO,496
3L7H,388
2V9K,530
4EHX,315
4AFK,458
3BVX,1045
4PI8,228
2O70,1044
1XHD,173
3LYE,307
1DYP,271
3PF0,364
2WYL,2160
3BB6,508
4WBD,541
2BNM,396
1M1S,116
2OFY,172
1DG6,191
4YCA,588
4EVW,510
4Q8W,388
3RK1,474
3AKE,208
3E0E,97
1QST,160
1EM9,308
3NFT,303
3I57,370
3EBY,163
4YCS,768
2R60,499
2Z9W,784
1U3E,174
3FYR,144
5FIA,804
3GO9,492
3NVX,766
3CGG,390
1M0K,262
2HXX,178
3GIW,277
1WVQ,501
4YWZ,304
2XVO,768
2X49,333
2CCQ,99
3HE4,408
3Q6C,1328
3VNN,139
2PV4,145
3RJT,432
4TRT,736
2QHP,296
4D7E,1716
1Z6R,1624
3E8T,220
1KA8,600
2AAM,1854
1ON2,284
2BTJ,888
4Q75,858
4JR6,448
4GA2,150
3ML3,189
4OHJ,458
1PEA,385
4X83,1576
4WPC,634
4O32,414
1XK5,204
4UZ8,260
3HLK,892
2FD4,122
4CD8,320
4FLN,1645
1M0W,982
3Q46,178
4P3H,386
4ZWQ,1099
4R75,321
1H72,296
3MDQ,315
4PI3,432
2PYX,1052
2OGM,211
2VSZ,298
1YLQ,192
2CHC,510
4Q7E,258
1EOK,290
3FF2,117
3TSA,782
3O7B,244
1RA0,430
3M06,432
4TSD,390
4O5F,560
2OIF,1296
1T6A,126
3CX2,108
2YX0,342
4LU2,202
1POC,134
4L8K,1280
2PSB,320
1WPB,2752
2NZ7,196
1WIW,580
3CNY,602
3.00E+48,578
1UUR,473
4MO1,356
4IAJ,624
1VKI,362
4LTB,382
3OOU,108
1TUA,191
2OU6,190
3FHH,640
4UC8,466
1SVM,2262
3Q3E,1262
2WKD,119
4HY4,230
4.00E+29,496
4UCI,830
5EPE,248
4B4D,262
1GTT,1716
4OPC,453
3C1A,630
1Z7L,828
2JJM,4728
1TX9,302
4OCV,379
3IAG,422
2GMF,254
3W07,252
4F3V,564
2RBG,252
3DI5,168
3VC8,188
3IUZ,340
1FJR,390
1V33,366
1WYZ,968
3DSM,328
4GX0,2260
2FEL,4308
3K7P,358
3A4R,158
5E3I,876
1SS4,306
1SW6,654
2BU3,508
4PQQ,156
3H2T,670
4KK7,395
5COF,173
4DNI,257
2D7V,324
1EV7,634
3N6X,474
3JRT,192
4NV4,352
1KCW,1046
2SQC,1262
4EI7,778
2P2U,342
2Q8K,401
4N02,357
1OLT,457
4DEV,3264
1EZI,456
4K02,318
4G12,430
4RSF,287
2VH1,440
4Q51,562
2PFZ,301
4KQI,356
4PIO,646
3KXT,56
2QUD,250
4YFV,508
2ABW,454
1N5U,585
1LY1,181
4JBE,890
3BN0,112
4YK2,294
4NS5,227
2DPL,616
2PFC,183
3FRN,278
3I0W,290
5FJD,488
4W8F,5322
1Z3E,205
1CXQ,162
3ZEZ,204
3.00E+07,228
3NJN,256
3ROT,594
4NXY,194
3KT7,633
5EMI,180
4LO6,623
2A5Z,786
4WD3,826
3OXN,964
2P9R,204
2BKM,256
4J5T,811
3BYQ,579
3T2L,308
4U6O,332
4GHB,544
2D3O,389
4JLE,336
1TKJ,284
3A1S,516
2UX1,1980
4RNA,324
3LEQ,126
4K4K,564
3LJB,542
5IIF,143
3CTS,437
3NZT,525
1W5Q,674
3VMN,643
4L7M,538
1N71,720
1K7W,1872
1JIX,351
3M9V,439
3AJV,752
4PE6,682
3GHJ,141
4J37,336
2YYY,686
1Z9L,128
2DDZ,1140
1T6C,315
3AOT,227
2XNQ,97
2YYO,171
2HUJ,140
3GGY,386
2RIQ,160
1C94,76
3KD6,626
4TX2,481
4AT0,510
3H0D,310
1OW1,195
1S9R,820
3DCZ,207
2OST,604
3P1X,150
4OTP,352
1SQU,310
4NTD,340
4RLZ,632
4WKS,713
4DCI,1200
1UPQ,123
1Y02,120
1X6O,174
2O3J,1443
3G23,548
2YHA,388
3EBC,634
3T6O,363
1HK8,605
1ZK4,251
3D3O,356
2OU1,924
2Y5P,296
3HRL,104
4EO0,115
3K59,786
1MQS,721
4YGT,160
2FZS,2702
3QWN,2568
7A3H,303
2GUJ,310
2AB5,538
2Q8P,260
3N0R,286
2EZ2,912
1W33,362
2NUH,118
3H87,458
3JUR,1792
4XHT,412
5BRL,420
4KV2,184
3IRS,873
4DWE,480
3CEX,344
2PNQ,934
2OLT,681
2E2O,299
4EW5,204
4CIH,600
1RTT,193
1DBW,252
3BCY,155
1GY7,500
3CG6,292
4E0N,56
1RTQ,299
3GK6,170
3RRI,270
2V0U,146
4L9P,891
3HJG,426
3SXU,293
4UU3,336
2A1R,860
3SOV,327
2IKK,346
3VL1,840
4RAP,4872
4OLE,488
1XG0,497
4O66,304
4WIA,699
1YG9,330
2ZUV,1518
4S36,90
3ESL,404
2JHP,644
3NHV,720
3DA8,430
3CJE,167
1YF3,518
1P35,897
4CAH,112
3LD7,303
3NJ2,348
2YJL,375
2J6A,141
2HHC,330
3VYW,1232
4V0K,338
2F60,64
3MPC,206
4FQG,380
1V8H,214
1QUU,250
5DEU,462
4Z8T,431
2CPG,135
5BRA,350
2PQ8,278
3NOJ,238
3JQH,167
3U1C,202
5FLW,608
4P1N,672
3KGW,786
2GF3,778
3ZSQ,334
4F8L,145
4FX0,296
5C74,424
2E3H,90
3KTD,1364
3GYD,374
4FQN,392
1HXR,230
1CTF,74
4FWW,527
4G3N,327
2OXL,128
4OV4,414
2VGN,772
3CA8,532
3D3B,228
1LWB,122
4AL0,152
3FCM,394
3UFB,530
4FN7,693
2QL3,2508
1Z0N,288
1Q67,462
3DDD,288
2WB0,356
4Z5S,231
3B4R,448
1QQE,292
3JZ0,574
4YAR,443
3H0O,240
1K8U,90
4MDW,166
1M55,394
2O1C,600
1OO0,257
1CQ3,466
2OQB,234
4RL8,1100
4IX3,700
3D30,208
4MS4,853
2ZCX,231
3OMZ,1036
3OQQ,435
2A1I,146
3FRY,146
3CIT,320
4NYQ,164
1VCC,77
1V2X,194
4NBO,222
3K40,950
4PUX,160
4DWL,655
5CYA,536
4HWM,130
2CXC,144
3ABH,624
3AXG,5325
3T0H,228
1BDF,940
3ZQC,524
2IZX,100
4IE5,495
4WFC,744
2XOM,152
1S99,400
3A9B,395
2Q48,332
2QHF,407
4OMV,412
2YI9,3995
3NPH,148
4Z6M,1460
5I2M,1266
4L2W,348
2WZO,146
4OFZ,514
1CCW,1240
4JJA,371
4NEC,1088
2I4L,1374
3HOL,509
3GZR,292
1QKS,1134
2WVX,2976
3M6I,726
2V6K,428
1P5D,463
1MO9,1046
3KNY,218
2QUO,126
4TQ1,328
3SP7,172
3VEM,460
4BJM,952
2ETS,128
3RKO,4076
4TXD,390
2V89,184
3A8R,358
2RG8,330
4HQ1,475
2C8S,172
4CEI,2398
2XP1,178
4B0T,986
3EYT,632
1CJW,166
4DJB,260
4QPR,149
2I49,429
3LIU,804
2I1S,376
4D79,1104
1TXL,215
1X3K,152
3SOJ,230
1XU9,1144
4OGE,1101
3F42,198
1X2I,150
2IUU,2946
1E9R,2622
3DNH,516
3EA6,219
2AQ4,434
3T7K,528
3Q7R,242
4M0N,232
2NOO,502
1L0S,360
3VJ9,343
4YV4,464
4C9Y,246
2A2M,516
1NZ0,472
3GDW,278
3ES1,172
1OEW,330
3WW3,512
2BK9,153
3E4G,176
3ORH,944
1VQQ,1292
3GWN,228
2JH1,246
4J05,1060
4N5A,557
2WMM,324
2VK8,2252
3S6E,228
1SMX,192
4MFI,436
3CFU,318
1WTJ,686
2XOV,181
3TZT,552
5F4C,186
4V33,720
2IJL,270
3GFS,2088
3PJP,398
3T6A,1332
3OBE,610
3ZIU,1274
1EL6,657
2V0O,828
4HFQ,406
3RT2,183
1J1T,233
1YU5,67
4NTQ,390
1HC8,152
3K6G,459
3PHS,249
4P5I,270
4FBW,952
3GEB,1096
3DOR,1166
5EHU,478
2ASF,137
5B2R,1372
1CUK,203
3KOP,1128
1PP0,796
3GNZ,213
5I5M,1276
2HF1,136
4YEC,367
2PIH,302
4KU0,384
1DZK,314
3OE3,588
4IQB,630
3B5E,446
3OJ0,144
2XDJ,498
1OBO,338
3D3M,336
1LKI,180
5BP8,523
1AF7,274
3L5I,290
4M1B,508
3.00E+11,228
